L0,L1,R0,R1
2308, 4093, 2365, 4092
3417, 3646, 3568, 3585
3959, 3071, 3989, 3009
4067, 2561, 4073, 2512
4089, 2143, 4090, 2094
4093, 1872, 4094, 1811
4094, 1576, 4094, 1523
3865, 1771, 3813, 1679
4049, 1575, 4038, 1475
3818, 1691, 3766, 1622
4039, 1501, 4029, 1438
3767, 1411, 3677, 1398
4029, 1216, 4009, 1205
3629, 1161, 3510, 1201
3889, 1009, 3372, 1053
3401, 1318, 2882, 1369
3153, 1209, 2473, 1257
2693, 1286, 2069, 1117
2256, 1146, 1830, 1005
1888, 1179, 1551, 1115
2142, 1048, 2016, 995
1906, 1134, 1820, 1313
2532, 1414, 2302, 1192
2300, 2483, 2076, 2493
2365, 2324, 2020, 2537
2057, 2216, 1750, 2376
2036, 2800, 1934, 2852
1764, 2524, 1715, 2546
1993, 2749, 1784, 2716
1770, 2421, 1558, 2370
1632, 2822, 1473, 2837
1604, 2510, 1435, 2525
1398, 2502, 1255, 2298
1182, 2617, 1059, 2605
1071, 2293, 981, 2445
936, 2602, 889, 2818
808, 2322, 769, 2498
816, 2730, 737, 2841
712, 2436, 722, 2508
639, 2768, 651, 2692
756, 2461, 723, 2360
700, 2318, 659, 2422
863, 2955, 746, 2661
787, 2663, 687, 2401
921, 3666, 849, 3565
1037, 4009, 1083, 3989
1275, 4077, 1285, 4073
2170, 4091, 2204, 4090
2967, 3687, 3135, 3578
3869, 3121, 3903, 2993
4049, 2616, 4056, 2497
4085, 2178, 4087, 2074
3949, 1821, 3803, 1736
4065, 1529, 4036, 1460
3836, 1592, 3777, 1406
4043, 1391, 4031, 1227
3834, 1554, 4082, 1509
4042, 1392, 4092, 1362
3761, 1631, 4094, 1617
4028, 1466, 4094, 1422
3639, 1261, 3771, 1221
3882, 1129, 3494, 1031
3398, 1405, 2969, 1095
3239, 1274, 2515, 963
2778, 1278, 2099, 983
2324, 1127, 1834, 879
1952, 1512, 1549, 1355
2158, 1396, 1990, 1263
1907, 1499, 1794, 1524
2219, 2161, 1897, 2176
1976, 1991, 1677, 2000
