L0,L1,R0,R1
1332, 1445, 1342, 1439
1311, 1588, 1372, 1506
1272, 1403, 1324, 1322
1112, 3556, 1151, 3540
1685, 3987, 1685, 3984
1797, 4073, 1761, 4072
2954, 3844, 2887, 3817
3866, 3284, 3853, 3254
4049, 2756, 4046, 2710
4085, 2289, 4085, 2255
3842, 1925, 3785, 1885
4044, 1606, 4033, 1570
4084, 1359, 4082, 1318
4092, 1384, 4092, 1226
4094, 1219, 4094, 1052
4094, 1240, 4094, 1260
4094, 1099, 4094, 1130
4094, 1111, 4094, 981
4094, 984, 4094, 837
3737, 904, 3628, 781
3477, 848, 3420, 834
2969, 988, 2919, 1002
2495, 947, 2448, 914
2075, 835, 2030, 784
1746, 735, 1696, 680
1467, 644, 1428, 600
1242, 701, 1202, 542
1058, 1183, 1028, 1066
905, 1598, 868, 1362
902, 1536, 845, 1388
1561, 1542, 1471, 1400
1605, 1425, 1681, 1444
1418, 1420, 1501, 1371
1503, 1487, 1402, 1366
1742, 1554, 1856, 1487
1558, 1498, 1684, 1392
1686, 1511, 1658, 1415
1497, 1425, 1568, 1415
1402, 1335, 1475, 1367
1378, 1514, 1374, 1415
1380, 1494, 1384, 1379
1377, 1518, 1398, 1453
1305, 1542, 1338, 1474
1336, 1539, 1338, 1646
1358, 1526, 1438, 1465
1335, 1500, 1363, 1461
1215, 1315, 1248, 1274
1041, 1121, 1067, 1089
894, 961, 917, 934
771, 2077, 933, 2047
1180, 3691, 1165, 3685
1396, 4014, 1462, 4013
2052, 4078, 2058, 4078
2949, 3849, 2892, 3826
3865, 3293, 3854, 3253
4049, 2748, 4046, 2709
4085, 2299, 4085, 2251
4093, 1912, 4093, 1944
4094, 1607, 4094, 1593
4094, 1364, 4094, 1327
4094, 1271, 3814, 1169
4094, 1271, 4038, 1129
3846, 1185, 3756, 1104
4045, 1285, 4027, 1068
4085, 1008, 4081, 939
4093, 847, 4092, 817
4061, 728, 3872, 699
3504, 632, 3303, 613
2940, 555, 2758, 533
2451, 528, 2301, 516
2029, 476, 1913, 488
1706, 505, 1607, 486
1441, 499, 1345, 509
1223, 561, 1128, 525
1040, 572, 960, 601
876, 563, 814, 565
768, 543, 699, 556
667, 537, 611, 537
586, 522, 526, 529
522, 476, 463, 504
463, 480, 411, 456
403, 461, 372, 452
374, 467, 340, 460
347, 450, 312, 466
351, 438, 304, 451
331, 452, 312, 487
335, 470, 348, 460
327, 443, 330, 437
318, 451, 323, 424
334, 452, 323, 488
318, 442, 316, 476
330, 409, 304, 438
314, 390, 280, 414
332, 403, 288, 378
316, 423, 277, 378
311, 387, 293, 431
317, 358, 306, 401
305, 405, 288, 409
313, 444, 323, 442
313, 409, 299, 387
311, 425, 279, 369
317, 418, 297, 400
324, 384, 290, 412
322, 401, 302, 394
325, 400, 294, 432
323, 407, 278, 468
312, 403, 299, 455
314, 434, 308, 445
326, 450, 292, 448
336, 449, 293, 436
327, 422, 277, 409
295, 384, 273, 426
312, 381, 277, 418
316, 429, 304, 501
